STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00013969,Netaji Subhash Chandra Bose International Airport,01-03-1950,,,,0,0,,52,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,02-03-1950,,,,0,0,,33,22,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,03-03-1950,,,,0,0,,60,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,04-03-1950,,,,0,0,,60,39,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,05-03-1950,,,,0,0,,78,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,06-03-1950,,,,0,0,,74,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,07-03-1950,,,,0,0,,61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,08-03-1950,,,,0,0,,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,09-03-1950,,,,0,0,,62,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,10-03-1950,,,,0,0,,62,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,11-03-1950,,,,0,0,,41,23,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,12-03-1950,,,,0,0,,23,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
